student_id,first_name,last_name,Gender,D.O.B,2021-attainment,2021-effort,2021-attendance,2021-behaviour,2022-attainment,2022-effort,2022-attendance,2022-behaviour
1,Correy,Sizzey,M,30/10/2012,4,7,7,5,7,6,5,7
2,Jennilee,Peret,F,19/03/2013,5,3,7,3,4,7,4,9
3,Jarrad,Brettoner,M,15/05/2013,3,3,7,4,5,5,8,5
4,Nicky,Matsell,M,25/12/2012,3,6,6,7,6,6,6,9
5,Saree,Penburton,F,07/09/2012,6,6,4,5,9,9,8,5
6,Granny,Kebbell,M,15/08/2013,3,5,5,4,7,7,7,8
7,Hamil,Shmyr,M,01/06/2013,3,5,3,7,7,9,9,4
8,Lind,Pavek,M,21/08/2013,6,6,7,3,8,8,7,7
9,Ruthanne,Cornwell,F,03/01/2013,4,4,6,6,6,8,4,5
10,Kylie,Gittoes,F,03/09/2012,6,7,5,5,7,8,4,5
11,Valeria,Jiroutek,F,13/12/2012,4,6,5,3,7,7,9,8
12,Cathryn,Heersma,F,19/11/2012,7,6,3,7,5,8,5,8
13,Yorke,Briamo,M,22/12/2012,5,7,5,3,6,5,6,9
14,Sheffield,McBrearty,M,03/07/2013,5,6,7,6,8,4,4,9
15,Catlee,Lambourn,F,17/08/2013,5,7,4,3,5,7,4,4
16,Chelsy,Daingerfield,F,29/08/2013,6,6,3,3,5,4,4,8
17,Dahlia,Serginson,F,28/05/2013,5,7,7,4,7,4,8,9
18,Scot,Sentinella,M,17/10/2012,3,5,5,5,6,7,6,7
19,Ranee,Giffaut,F,31/01/2013,7,7,3,6,4,9,6,7
20,Sissy,Edgson,F,04/03/2013,6,6,6,3,5,8,4,4
21,Linus,Tourne,M,27/12/2012,3,5,4,6,9,6,8,9
22,Timothee,Richly,M,29/05/2013,3,7,5,5,8,9,7,5
23,Anthiathia,Children,F,07/05/2013,5,5,7,6,8,6,8,6
24,Aylmer,Clarridge,M,08/07/2013,3,7,6,7,5,8,8,5
25,Tamar,Chaffer,F,31/01/2013,6,7,4,6,9,8,9,4
26,Jabez,Uzielli,M,05/12/2012,4,7,3,4,5,6,8,6
27,Damiano,Humberstone,M,26/11/2012,3,7,4,3,4,6,8,5
28,Dorian,Gideon,M,21/11/2012,5,4,3,6,9,6,7,8
29,Aron,Gatcliff,M,07/05/2013,5,5,7,7,7,4,5,4
30,Tanner,Jursch,M,08/09/2012,4,3,3,5,4,6,8,7
31,Astrid,Winstone,F,06/10/2012,5,7,7,7,4,8,8,8
32,Toby,de Villier,M,01/11/2012,7,4,5,3,4,7,8,6
33,Jacquetta,Szymanski,F,11/08/2013,5,6,5,5,7,5,5,4
34,Cad,Liggett,M,03/07/2013,6,4,6,4,8,4,8,9
35,Guglielmo,Ewebank,M,07/02/2013,4,5,5,4,6,9,8,5
36,Emlynn,Vicioso,F,31/07/2013,7,7,5,5,9,4,4,7
37,Corette,Dessant,F,30/01/2013,4,3,5,3,7,6,7,5
38,Corbie,Ellse,M,06/09/2012,6,4,7,7,4,8,6,5
39,Rayna,Baake,F,10/03/2013,4,3,7,5,4,5,7,7
40,Mariellen,Yashin,F,06/08/2013,4,7,7,3,4,6,7,7
41,Cornelius,Sainsbury-Brown,M,18/04/2013,5,6,7,4,5,5,4,7
42,Imogene,Paddle,F,04/06/2013,6,5,5,3,5,6,9,9
43,Percy,Petts,M,02/08/2013,4,3,6,6,7,8,9,8
44,Daune,Sidebotham,F,05/01/2013,7,4,4,5,9,4,7,7
45,Morena,Bevis,F,05/12/2012,7,5,3,5,7,9,5,9
46,Konstantine,Caitlin,M,14/08/2013,5,4,6,3,5,4,8,9
47,Lamont,Shutt,M,10/03/2013,3,4,6,7,9,4,6,8
48,Jack,Milvarnie,M,16/05/2013,7,7,4,7,5,4,9,9
49,Erwin,Simononsky,M,12/02/2013,4,7,7,4,4,9,7,8
50,Braden,Poore,M,16/05/2013,5,6,6,7,9,6,4,8
51,Paige,Deeble,F,17/07/2013,7,6,5,6,8,6,9,6
52,Bertrando,Conibere,M,20/04/2013,4,7,3,7,6,4,6,5
53,Isa,Buxsy,M,18/10/2012,4,6,7,6,7,6,9,5
54,Bobbe,Odd,F,06/07/2013,5,3,3,5,6,5,5,4
55,Pierrette,Roseman,F,07/05/2013,4,7,4,6,8,5,5,8
56,Judye,Thiese,F,08/12/2012,5,4,6,4,8,9,6,5
57,Elsworth,Atcock,M,13/07/2013,6,7,4,5,9,8,8,4
58,Bryna,McKeggie,F,22/04/2013,5,5,3,4,6,9,9,8
59,Kathryne,Edlestone,F,28/11/2012,6,4,6,3,5,5,7,6
60,Quintana,Curston,F,15/05/2013,6,4,5,4,7,6,9,5
