First Name,Last Name,Days Present,Days Absent
Ronna,Nellies,36,28
Rusty,Andriulis,50,14
Roberta,Oakeshott,54,10
Lola,Rubinfajn,52,12
Kamila,Benedtti,26,38
Avery,Colebourn,39,25
Valentino,Klimko,49,15
Cal,Shearwood,22,42
King,Truswell,54,10
Towney,Stichall,63,1
Aubrette,Mc Dermid,36,28
Adah,Chatres,26,38
Benedikt,Titterton,41,23
Rosina,Harberer,34,30
Panchito,Filinkov,51,13
Samara,Strike,21,43
Joane,McCormack,39,25
Griffie,Sitlinton,45,19
Gilberta,Silversmidt,34,30
Marjie,Matkovic,42,22
Uri,Cowterd,29,35
Korella,Mattisson,50,14
Findlay,Schonfelder,37,27
Jaquelyn,Jantzen,58,6
Davina,Gradwell,59,5
Nicolea,Selby,63,1
Moselle,Alelsandrovich,30,34
Honey,Nieass,22,42
Akim,Godfroy,36,28
Karole,Floch,36,28
Nata,Feldbaum,45,19
Jaquelin,Antonucci,53,11
Candra,Hallums,47,17
Den,Masters,61,3
Janifer,Marris,30,34
Carolus,Bremmer,57,7
Casey,Addicote,21,43
Brigida,De Ath,33,31
Kimberli,Severs,28,36
Maribeth,Blumson,20,44
Arabele,Rosenauer,30,34
Madison,Cominetti,56,8
Verina,Knoton,39,25
Wolfgang,Clubbe,32,32
Davin,Mazdon,31,33
Constantina,McIlwaine,63,1
Sayre,Merredy,44,20
Rodrick,Jeannot,30,34
Kain,Guerre,53,11
Blinni,Fieldstone,33,31
Annabell,Goscomb,29,35
Clayborn,Benazet,38,26
Mahala,Henze,20,44
Lanette,Berzen,20,44
Keefer,Ruckhard,22,42
Merrili,Truelock,52,12
Joete,Goutcher,46,18
Miguelita,Palfreman,52,12
Ossie,Mattes,37,27
Bear,Vernay,24,40
Teodor,Wragge,37,27
Daisie,Whitelaw,58,6
Emlynne,Littley,45,19
Britni,Walsh,63,1
Marys,Inseal,63,1
Paxton,Massow,63,1
Kerby,Scain,21,43
Johnathan,Lamplough,25,39
Jeni,Donald,53,11
Sylvia,Abrahamsohn,61,3
Cinnamon,Stoyle,62,2
Issi,Amey,49,15
Brion,Letson,35,29
Nappie,Sire,46,18
Pattie,Chapelle,62,2
Brynna,Armit,38,26
Gauthier,Bruinsma,22,42
Pren,Gudgeon,29,35
Wyn,Husthwaite,44,20
Allianora,Padrick,41,23
Malena,Bennough,53,11
Jarret,Winscom,50,14
Ree,Salmen,62,2
Hope,Dommerque,22,42
Guillermo,Trowle,37,27
Tibold,Cottingham,46,18
Cecilia,Poxton,38,26
Arri,Sleney,40,24
Regina,Isenor,55,9
Annalise,Roll,35,29
Othello,Blyth,34,30
Ave,Heyball,61,3
Friederike,Civitillo,51,13
Hayley,Rizzini,40,24
Blakelee,Monery,39,25
Jacenta,Cowton,23,41
Karlyn,Westmoreland,43,21
Yancey,Bachellier,34,30
Nerte,Lissandrini,35,29
Dorolice,Crosthwaite,56,8
Brantley,Thorley,51,13
Robin,Cypler,37,27
Phillie,Allsepp,62,2
Toddie,Artz,38,26
Marje,Antoshin,56,8
Rochella,Blazdell,25,39
Aryn,Thursfield,50,14
Isaiah,Antowski,50,14
Helli,Owbridge,54,10
Hadrian,Scourgie,40,24
Toddie,Nanetti,21,43
Inger,Sugar,39,25
Lezlie,Meyer,46,18
Rowland,Krinks,46,18
Fair,Baumber,31,33
Ekaterina,Graver,50,14
Farris,Spear,54,10
Shanie,Croisier,22,42
Fredric,Skerme,26,38
Christoph,Udall,22,42
Jared,Koba,27,37
Lucina,Gouley,41,23
Milka,Fosbraey,41,23
Iseabal,Aldwinckle,62,2
Colet,Featherstonehaugh,44,20
Jewelle,Skaif,49,15
Brose,Plumridge,45,19
Dotty,Oldknow,25,39
Stacy,Conneely,41,23
Iona,Ballister,55,9
Windy,Curgenuer,44,20
Kienan,Echalie,58,6
Nollie,Curley,21,43
Joelle,McGrory,44,20
Pooh,Schmidt,38,26
Coral,Phelipeaux,44,20
Gifford,McKeachie,25,39
Orelee,Videan,33,31
Toiboid,Scamerden,34,30
Shirline,Longstaff,55,9
Hurley,D'Alessandro,48,16
